t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6
0.0,202,47.937,7.1118,0.6854,210,38.6415,6.577,0.8668,213,30.362,4.0919,0.6254,222,18.9646,3.8748,0.3768,234,5.5554,3.9858,-0.0054,252,0.0,5.7665,-1.197
0.1,202,48.6516,7.1817,0.5754,210,39.3034,6.6623,0.7461,213,30.7744,4.155,0.604,222,19.3539,3.9122,0.392,234,5.9541,3.9869,0.0427,252,0.5707,5.6468,-1.1947
0.2,202,49.3733,7.2512,0.5903,210,39.9734,6.737,0.6811,213,31.193,4.2183,0.6796,222,19.7472,3.9532,0.4188,234,6.353,3.9919,0.0829,252,1.1293,5.5266,-1.2068
0.3,202,50.0994,7.2711,0.6252,210,40.6506,6.8065,0.6464,213,31.6183,4.2863,0.7498,222,20.1446,3.9951,0.4111,234,6.7527,4.0016,0.1376,252,1.6759,5.4056,-1.2104
0.4,202,50.8303,7.3471,0.6594,210,41.3345,6.871,0.5868,213,32.0507,4.3619,0.8386,222,20.5461,4.0352,0.3811,234,7.1535,4.0158,0.1823,252,2.2105,5.2856,-1.1685
0.5,202,51.569,7.4268,0.8232,210,42.0244,6.9283,0.5426,213,32.491,4.4458,0.9259,222,20.9515,4.0725,0.376,234,7.556,4.0334,0.2166,252,2.7332,5.1681,-1.1377
0.6,202,52.3158,7.5092,0.8493,210,42.7198,6.9791,0.4905,213,32.9402,4.5377,0.9823,222,21.3606,4.1085,0.3757,234,7.9604,4.0538,0.2225,252,3.2443,5.0536,-1.1104
0.7,202,53.071,7.5942,0.8725,210,43.4201,7.0276,0.498,213,33.3989,4.6366,1.0494,222,21.7733,4.146,0.4057,234,8.3669,4.0766,0.2443,252,3.7441,4.9424,-1.0736
0.8,202,53.8347,7.6813,0.8946,210,44.1255,7.0792,0.5521,213,33.8678,4.7415,1.1029,222,22.1899,4.1873,0.4571,234,8.7758,4.1011,0.2587,252,4.233,4.8365,-0.9457
0.9,202,54.6073,7.7707,0.9074,210,44.8363,7.1367,0.6153,213,34.3475,4.8513,1.153,222,22.611,4.2339,0.5138,234,9.1872,4.1266,0.2659,252,4.7118,4.7396,-0.8463
1.0,202,55.389,7.8625,0.9321,210,45.5531,7.1998,0.6633,213,34.8384,4.9665,1.1886,222,23.037,4.2859,0.5681,234,9.6011,4.153,0.2858,252,5.1815,4.6546,-0.725
1.1,202,56.18,7.9564,0.9491,210,46.2764,7.2663,0.6834,213,35.3411,5.0873,1.2458,222,23.4684,4.3428,0.6166,234,10.0178,4.181,0.3113,252,5.6434,4.5831,-0.5963
1.2,202,56.9803,8.051,0.9462,210,47.0064,7.3339,0.6853,213,35.8561,5.2125,1.2792,222,23.9058,4.4043,0.6618,234,10.4375,4.2123,0.3562,252,6.0988,4.5252,-0.3941
1.3,202,57.7901,8.1442,0.8943,210,47.7432,7.4014,0.6678,213,36.3836,5.3394,1.2773,222,24.3495,4.47,0.6928,234,10.8605,4.2484,0.4116,252,6.5491,4.4797,-0.3075
1.4,202,58.609,8.2341,0.8557,210,48.4867,7.4684,0.6624,213,36.9239,5.4655,1.2166,222,24.8,4.5397,0.7329,234,11.2874,4.2895,0.4426,252,6.9952,4.4436,-0.248
1.5,202,59.4367,8.3198,0.8115,210,49.2368,7.5348,0.6546,213,37.4768,5.5918,1.23,222,25.2576,4.6131,0.768,234,11.7187,4.3351,0.4825,252,7.4392,4.4347,-0.2113
1.6,202,60.2727,8.4007,0.7634,210,49.9936,7.6001,0.643,213,38.0424,5.7203,1.2621,222,25.7228,4.6896,0.7957,234,12.1546,4.3838,0.5061,252,7.8814,4.4092,-0.2207
1.7,202,61.1166,8.4767,0.7429,210,50.7568,7.6642,0.6156,213,38.6209,5.8509,1.2684,222,26.1957,4.7689,0.8151,234,12.5955,4.4339,0.5099,252,8.3212,4.3874,-0.1856
1.8,202,61.9679,8.5486,0.7114,210,51.5263,7.7266,0.5983,213,39.2116,5.9633,1.2203,222,26.6767,4.8519,0.8606,234,13.0414,4.4836,0.4936,252,8.759,4.369,-0.1583
