t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL
0.0,503,90.766,10.4795,0.2627,511,67.6543,10.2342,0.0114,519,50.7765,8.1577,0.1775,538,21.2991,6.8757,0.2069,546,11.047,6.2689,-0.2153,554,0.0,7.1766,-0.5053,0.2069,0.2069
0.1,503,91.8153,10.5054,0.2443,511,68.6777,10.233,-0.0004,519,51.5932,8.1755,0.2042,538,21.9878,6.8983,0.2669,546,11.6728,6.2472,-0.3556,554,0.7151,7.1257,-0.5173,1.4576338128648851,0.2669
0.2,503,92.867,10.5298,0.2332,511,69.7009,10.2319,-0.0003,519,52.4118,8.1958,0.2312,538,22.679,6.926,0.3132,546,12.296,6.2165,-0.3158,554,1.4251,7.0741,-0.5173,1.457954133707711,0.3132
0.3,503,93.9212,10.5533,0.2272,511,70.7241,10.2309,-0.0004,519,53.2325,8.2187,0.2973,538,23.3732,6.9567,0.3302,546,12.9159,6.1823,-0.3189,554,2.13,7.0232,-0.5049,1.4575462187020227,0.3302
0.4,503,94.9777,10.5762,0.2232,511,71.7472,10.2304,0.0001,519,54.0556,8.2441,0.3283,538,24.0704,6.9874,0.3143,546,13.5326,6.1504,-0.2719,554,2.8298,6.9735,-0.4917,1.4568023320681656,0.3143
0.5,503,96.0364,10.5986,0.2169,511,72.7703,10.2329,0.0548,519,54.8825,8.2924,0.3596,538,24.7705,7.0154,0.2748,546,14.1463,6.1244,-0.208,554,3.5247,6.9246,-0.4887,1.456273562926968,0.2748
0.6,503,97.0974,10.6203,0.2098,511,73.794,10.2411,0.1366,519,55.7132,8.323,0.3931,538,25.4737,7.0483,0.2363,546,14.7578,6.1051,-0.1359,554,4.2147,6.8753,-0.499,1.458404694756285,0.2363
0.7,503,98.1604,10.6413,0.2024,511,74.8189,10.2564,0.2207,519,56.5472,8.3565,0.36,538,26.1796,7.0701,0.222,546,15.3676,6.0912,-0.0969,554,4.8997,6.8248,-0.5071,1.4579824734512672,0.222
0.8,503,99.2256,10.6615,0.1919,511,75.8456,10.2779,0.2807,519,57.3847,8.3931,0.3927,538,26.8877,7.0922,0.2362,546,15.9762,6.0812,-0.0707,554,5.5796,6.7731,-0.5151,1.4598645798939087,0.2362
0.9,503,100.2927,10.6808,0.1832,511,76.8746,10.3022,0.2273,519,58.226,8.4328,0.4226,538,27.5982,7.1171,0.2769,546,16.584,6.074,-0.049,554,6.2543,6.7212,-0.5131,1.461987766957417,0.2769
1.0,503,101.3617,10.6992,0.1732,511,77.9059,10.324,0.179,519,59.0714,8.475,0.4439,538,28.3113,7.1459,0.3167,546,17.1911,6.0698,-0.0363,554,6.9239,6.6701,-0.4979,1.463900926388617,0.3167
1.1,503,102.4325,10.7164,0.1615,511,78.9391,10.3401,0.1198,519,59.921,8.5184,0.4385,538,29.0275,7.1773,0.3299,546,17.7981,6.0697,0.0314,554,7.5885,6.6214,-0.434,1.4653584987428188,0.3299
1.2,503,103.5049,10.7324,0.1487,511,79.9737,10.3522,0.1052,519,60.7751,8.5617,0.4278,538,29.7468,7.2081,0.2755,546,18.4053,6.0742,0.1025,554,8.2484,6.5768,-0.3898,1.4664716506879467,0.2755
1.3,503,104.5789,10.7473,0.1388,511,81.0096,10.3653,0.147,519,61.6333,8.6036,0.4128,538,30.4689,7.2355,0.2325,546,19.0132,6.0832,0.1617,554,8.9041,6.5375,-0.3343,1.4676995643565902,0.2325
1.4,503,105.6543,10.7613,0.1321,511,82.047,10.3821,0.1844,519,62.4957,8.6449,0.4153,538,31.1936,7.2583,0.1902,546,19.6221,6.0958,0.1492,554,9.5562,6.5046,-0.2719,1.4694136908516757,0.1902
1.5,503,106.7311,10.7746,0.1247,511,83.0861,10.4008,0.1865,519,63.3624,8.6879,0.4419,538,31.9204,7.2773,0.1627,546,20.2325,6.1115,0.1794,554,10.2053,6.4784,-0.2095,1.4718938743061576,0.1627
1.6,503,107.8092,10.7869,0.1011,511,84.1271,10.4184,0.1594,519,64.2335,8.7341,0.4776,538,32.649,7.2942,0.1528,546,20.8445,6.1297,0.2036,554,10.8522,6.4582,-0.1623,1.4752025754001306,0.1528
1.7,503,108.8884,10.7974,0.0841,511,85.1697,10.433,0.1258,519,65.1093,8.7825,0.4847,538,33.3792,7.3104,0.1487,546,21.4585,6.1498,0.2168,554,11.4972,6.4419,-0.1371,1.4791660837171932,0.1487
1.8,503,109.9686,10.806,0.0655,511,86.2136,10.4453,0.1078,519,65.9899,8.8298,0.4559,538,34.111,7.3256,0.1353,546,22.0745,6.1707,0.2179,554,12.1406,6.4276,-0.1249,1.4834460825863192,0.1353
1.9,503,111.0495,10.8124,0.0471,511,87.2586,10.4559,0.0951,519,66.8751,8.8739,0.4224,538,34.8442,7.3386,0.1083,546,22.6927,6.1919,0.2219,554,12.7828,6.4151,-0.0648,1.4877930109060404,0.1083
2.0,503,112.131,10.8166,-0.0255,511,88.3047,10.4654,0.0864,519,67.7646,8.916,0.418,538,35.5786,7.3487,0.0862,546,23.313,6.2139,0.2355,554,13.4238,6.4057,-0.0418,1.4922176823223914,0.0862
2.1,503,113.2127,10.8185,-0.0054,511,89.3517,10.4745,0.0976,519,68.6584,8.9592,0.4426,538,36.3139,7.3565,0.0705,546,23.9356,6.2378,0.2589,554,14.0641,6.4008,-0.0132,1.4969282862542597,0.0705
2.2,503,114.2946,10.8183,0.0094,511,90.3996,10.4843,0.1111,519,69.5565,9.0041,0.454,538,37.0499,7.3637,0.0727,546,24.5606,6.2641,0.3211,554,14.7042,6.4007,0.0123,1.50208017819001,0.0727
2.3,503,115.3763,10.817,0.0124,511,91.4486,10.4957,0.1326,519,70.4591,9.0476,0.3375,538,37.7866,7.3714,0.0828,546,25.1885,6.293,0.3521,554,15.3445,6.4043,0.0504,1.50743503819554,0.0828
2.4,503,116.458,10.8157,-0.0131,511,92.4989,10.509,0.1536,519,71.3657,9.0843,0.2604,538,38.5242,7.3799,0.0939,546,25.8201,6.3395,0.3822,554,15.9852,6.4097,0.0581,1.5125572023985092,0.0939
2.5,503,117.5395,10.8147,-0.0142,511,93.5505,10.524,0.1578,519,72.2754,9.1104,0.1655,538,39.2626,7.3886,0.0898,546,26.4558,6.3738,0.4129,554,16.6264,6.4151,0.0521,1.516957205501744,0.0898
2.6,503,118.6209,10.8129,-0.0356,511,94.6037,10.54,0.1633,519,73.1872,9.1255,0.0809,538,40.0019,7.3967,0.0833,546,27.095,6.4109,0.397,554,17.2682,6.4201,0.0472,1.5204330179411947,0.0833
2.7,503,119.702,10.809,-0.0696,511,95.6585,10.5562,0.1637,519,74.1001,9.132,0.0353,538,40.742,7.405,0.0936,546,27.7381,6.4515,0.4353,554,17.9104,6.4251,0.061,1.5230846270475893,0.0936
2.8,503,120.7825,10.8025,-0.0812,511,96.715,10.5724,0.1643,519,75.0134,9.1339,0.0065,538,41.483,7.416,0.1486,546,28.3855,6.4958,0.4747,554,18.5532,6.4314,0.083,1.5249907151259758,0.1486
2.9,503,121.8623,10.7933,-0.1084,511,97.773,10.5889,0.165,519,75.9268,9.1348,0.0135,538,42.2255,7.433,0.2347,546,29.0375,6.5433,0.4997,554,19.1968,6.44,0.1123,1.5260989571333827,0.2347
3.0,503,122.9411,10.7818,-0.1289,511,98.8328,10.6059,0.1705,519,76.8404,9.1369,0.0352,538,42.97,7.4579,0.3299,546,29.6942,6.5916,0.4432,554,19.8414,6.4512,0.1418,1.5262016458966674,0.30891144275665283
3.1,503,124.0186,10.7692,-0.1313,511,99.8942,10.6232,0.1716,519,77.7543,9.1411,0.0564,538,43.7174,7.4903,0.4022,546,30.3556,6.6374,0.4027,554,20.4872,6.4649,0.1558,1.525190377342908,0.3556647300720215
3.2,503,125.095,10.7575,-0.0928,511,100.9574,10.6402,0.1637,519,78.6687,9.1472,0.0784,538,44.4683,7.5275,0.3935,546,31.0214,6.6775,0.3386,554,21.1345,6.4807,0.1771,1.5231803283192835,0.4188348054885864
3.3,503,126.1703,10.7484,-0.065,511,102.0222,10.656,0.1457,519,79.5839,9.1554,0.1009,538,45.223,7.5671,0.4068,546,31.6908,6.7106,0.2714,554,21.7834,6.4985,0.1971,1.520542856291357,0.40154826641082764
3.4,503,127.2448,10.7422,-0.0428,511,103.0885,10.6703,0.1303,519,80.4999,9.1654,0.1178,538,45.9818,7.6077,0.415,546,32.3632,6.7372,0.242,554,22.4343,6.5182,0.217,1.5176451878124608,0.44515907764434814
3.5,503,128.3188,10.7379,-0.0326,511,104.1562,10.6832,0.1193,519,81.417,9.1764,0.1175,538,46.7446,7.6492,0.4239,546,33.038,6.7596,0.2126,554,23.0871,6.5396,0.2176,1.514666471237467,0.44049835205078125
3.6,503,129.3924,10.7342,-0.0448,511,105.2251,10.6952,0.1141,519,82.3352,9.1876,0.117,538,47.5117,7.6915,0.4189,546,33.715,6.7803,0.2072,554,23.7422,6.5619,0.2212,1.511562655714826,0.4406837224960327
3.7,503,130.4656,10.7301,-0.0557,511,106.2952,10.707,0.1155,519,83.2545,9.1992,0.1237,538,48.2829,7.7343,0.4208,546,34.3941,6.8015,0.2236,554,24.3995,6.5839,0.2092,1.5082779629836578,0.42262566089630127
3.8,503,131.5383,10.7245,-0.0804,511,107.3665,10.7186,0.1153,519,84.1751,9.2119,0.142,538,49.0585,7.7767,0.4117,546,35.0755,6.8257,0.2793,554,25.0589,6.6043,0.191,1.5048748546436905,0.430621862411499
