t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3,v5_mpc_base2_field,v5_mpc_base2_field_smoothed,a5_mpc_base2_field_smoothed,Y5_mpc_base2_field_smoothed,v5_mpc_base3_field_smoothed,v5_mpc_base4_field_smoothed,a5_mpc_base3_field_smoothed,Y5_mpc_base3_field_smoothed,a5_mpc_base4_field_smoothed,Y5_mpc_base4_field_smoothed,a6_idm,v6_idm,Y6_idm,a6_mpc_base4,v6_mpc_base4,Y6_mpc_base4,a6_mpc_base3,v6_mpc_base3,Y6_mpc_base3,a6_mpc_base2,v6_mpc_base2,Y6_mpc_base2
0,1,65.2508,6.2369,0.1959,11,48.3681,5.88,-0.1444,24,30.2817,7.003,-0.1054,44,18.5095,7.6418,-0.8631,55,7.7316,6.9756,0.0086,54,0,5.8911,0.4581,-0.8631,-0.8631,7.55549,19.265049,0.0086,6.9756,8.42916,0.0086,6.9756,8.42916,6.5,6.488888889,-0.111111111,9.078048889,6.962225781,6.44,-0.019106027,9.125382578,-0.1,9.07316,0.4581,5.8911,0,0.4581,5.8911,0,0.4581,5.8911,0,0.4581,5.8911,0
0.1,1,65.8747,6.2419,0.0536,11,48.9554,5.8667,-0.0573,24,30.9815,6.9938,-0.1927,44,19.2694,7.5556,-0.8609,55,8.4287,6.9661,-0.1402,54,0.5914,5.9359,0.4506,-2.251232627,-0.8609,7.4694,20.011989,-0.91154985,6.97646,9.126806,0.311380854,6.97646,9.126806,6.5,6.477777778,-0.111111111,9.725826667,6.960315178,6.43,-0.019106027,9.821414096,-0.1,9.71616,-0.750362193,5.816063781,0.585358189,0.151680478,5.906268048,0.589868402,0.433414436,5.934441444,0.591277072,0.178920478,5.908992048,0.590004602
0.2,1,66.4988,6.2402,-0.1405,11,49.5417,5.8589,-0.0265,24,31.6802,6.9793,-0.1908,44,20.0207,7.4695,-0.8591,55,9.1245,6.9501,-0.2044,54,1.1873,5.9831,0.5066,-2.139761019,-0.8591,7.38349,20.750338,-0.886921177,6.885305015,9.815336501,0.170115643,7.007598085,9.827565809,6.5,6.466666667,-0.111111111,10.37249333,6.958404575,6.42,-0.019106027,10.51725455,-0.1,10.35816,-0.724285809,5.7436352,1.163343138,0.144209472,5.920688995,1.181216255,0.416747119,5.976116156,1.186804952,0.169362576,5.925928305,1.18175062
0.3,1,67.1224,6.2302,-0.3614,11,50.1275,5.8563,-0.0014,24,32.3771,6.9591,-0.2565,44,20.7633,7.3836,-0.859,55,9.8185,6.9292,-0.2471,54,1.7883,6.0368,0.5673,-2.030285025,-0.859,7.29759,21.480097,-0.838007797,6.796612897,10.49499779,0.073940771,7.02460965,10.53002677,6.5,6.455555556,-0.111111111,11.01804889,6.956493973,6.41,-0.103005889,11.21290395,-0.1,10.99916,-0.694434929,5.674191707,1.734234483,0.136841923,5.934373187,1.773969364,0.400428648,6.01615902,1.786418711,0.160009296,5.941929235,1.775143497
0.4,1,67.7445,6.2117,-0.2335,11,50.7131,5.8572,0.0115,24,33.0717,6.9324,-0.3334,44,21.4974,7.2976,-0.8435,55,10.5102,6.9053,-0.2676,54,2.395,6.0965,0.611,-1.923736543,-0.8435,7.21324,22.201421,-0.819177595,6.712812118,11.166279,-0.056106056,7.032003727,11.23322715,6.5,6.444444444,-0.111111111,11.66249333,6.946193384,6.4,-0.18690575,11.90752329,-0.1,11.63916,-0.66124976,5.608066731,2.298347405,0.12958909,5.947332096,2.368054628,0.38447979,6.054606999,2.389957012,0.150868298,5.957016065,2.370090762
0.5,1,68.3643,6.1858,-0.3003,11,51.299,5.8593,0.0356,24,33.7633,6.899,-0.4051,44,22.2228,7.2119,-0.838,55,11.1995,6.8802,-0.2192,54,3.0077,6.1581,0.6027,-1.820667801,-0.838,7.12944,22.914365,-0.773214363,6.630894358,11.82936844,-0.124612071,7.026393121,11.93586646,6.5,6.433333333,-0.111111111,12.30582667,6.927502809,6.39,-0.270805612,12.60027357,-0.1,12.27816,-0.625202861,5.545546445,2.856028064,0.122460602,5.959578157,2.96340014,0.368918068,6.091498806,2.997262302,0.141945645,5.971210629,2.966502097
0.6,1,68.9814,6.1549,-0.3351,11,51.8849,5.8602,-0.0035,24,34.4512,6.8607,-0.3993,44,22.9398,7.1275,-0.8171,55,11.8863,6.8551,-0.2144,54,3.6264,6.2168,0.556,-1.722137838,-0.8171,7.04773,23.619138,-0.728437519,6.553572922,12.48472573,-0.181611099,7.013931914,12.63725965,6.5,6.422222222,-0.111111111,12.94804889,6.900422248,6.38,-0.270805612,13.29031579,-0.1,12.91616,-0.586782179,5.486868227,3.407648798,0.115464611,5.971124618,3.559935279,0.341648004,6.125663607,3.608120423,0.133245959,5.984535225,3.56428939
0.7,1,69.5952,6.1225,-0.3333,11,52.4709,5.8579,-0.0772,24,35.1353,6.8209,-0.3968,44,23.6485,7.0463,-0.7764,55,12.5706,6.8319,-0.1851,54,4.2508,6.2705,0.4868,-1.628781581,-0.7764,6.97009,24.316147,-0.684346634,6.48072917,13.13279865,-0.22683394,6.995770804,13.33683673,6.5,6.411111111,-0.111111111,13.58916,6.873341686,6.37,-0.264436936,13.97764996,-0.1,13.55316,-0.546475322,5.432220695,3.953603244,0.108607928,5.98198541,4.157590781,0.315166712,6.157180278,4.222262617,0.124772555,5.997012481,4.163366775
0.8,1,70.2059,6.0915,-0.2818,11,53.0563,5.8505,-0.186,24,35.8155,6.7818,-0.3833,44,24.3493,6.9701,-0.7043,55,13.2529,6.8145,-0.1157,54,4.8803,6.3193,0.446,-1.540922063,-0.7043,6.89966,25.006113,-0.641280842,6.412294506,13.7740281,-0.261464512,6.97308741,14.03414547,6.4,6.4,0,14.22916,6.846897993,6.36,-0.25806826,14.66233976,-0.1,14.18916,-0.50475582,5.381745113,4.494301534,0.101896148,5.992175025,4.756298802,0.28949949,6.186130227,4.839428142,0.116527581,6.008665239,4.763650661
0.9,1,70.8137,6.0635,-0.2488,11,53.6406,5.8362,-0.1931,24,36.4917,6.7435,-0.3818,44,25.0428,6.9001,-0.6413,55,13.934,6.8068,-0.0232,54,5.5144,6.3639,0.4081,-1.459817176,-0.6413,6.83553,25.689666,-0.59925061,6.348166422,14.40884474,-0.287343309,6.946940959,14.72883957,6.4,6.4,0,14.86916,6.821091167,6.35,-0.251699585,15.34444888,-0.1,14.82416,-0.462071864,5.335537926,5.030165686,0.095333769,6.001708402,5.355992974,0.264665364,6.212596763,5.459364492,0.114587695,6.020124008,5.365090123
