t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3,v5_mpc_base2_field_smoothed,v5_mpc_base3_field_smoothed,v5_mpc_base4_field_smoothed,a5_mpc_base2_field_smoothed,Y5_mpc_base2_field_smoothed,a5_mpc_base3_field_smoothed,Y5_mpc_base3_field_smoothed,a5_mpc_base4_field_smoothed,Y5_mpc_base4_field_smoothed,a6_mpc_base4,v6_mpc_base4,Y6_mpc_base4,a6_mpc_base3,v6_mpc_base3,Y6_mpc_base3,a6_mpc_base2,v6_mpc_base2,Y6_mpc_base2
0.0,305,76.1918,7.0726,-0.464,314,61.5579,7.8269,-0.5844,313,52.6313,7.9039,-0.3406,326,40.8028,8.5982,-1.1542,339,16.2482,10.1168,-0.1668,343,0.0,10.7059,-0.2749,-1.1542,-1.1542,8.48278,41.651078,-0.1668,10.1168,17.25988,-0.1668,10.1168,17.25988,9.85486415613219,10.1168,9.83,-0.0497283122643033,18.24536641561322,-0.1667999999999914,18.271559999999997,-0.19999999999999574,18.24288,-0.2749,10.7059,0.0,-0.2749,10.7059,0.0,-0.2749,10.7059,0.0
0.1,305,76.8967,7.0254,-0.4797,314,62.3379,7.7719,-0.514,313,53.42,7.8698,-0.3417,326,41.6568,8.4821,-1.1625,339,17.2589,10.0966,-0.2372,343,1.0691,10.6767,-0.3047,-3.23825075332609,-1.1625,8.36653,42.487731,-0.43319778148632,10.10012,18.269892,-0.550020083401295,10.10012,18.269892,9.84989132490576,10.10012,9.81,-0.04972831226440988,19.230355548103795,-0.5500200834010016,19.281572,-0.4499999999999993,19.223879999999998,-1.40708013538665,10.5651919864613,1.06355459932307,-1.25834655162214,10.5800653448378,1.06429826724189,-1.40410608956791,10.5654893910432,1.06356946955216
0.2,305,77.5967,6.9758,-0.5124,314,63.1127,7.7237,-0.448,313,54.2053,7.8362,-0.3294,326,42.4992,8.3649,-1.1783,339,18.2672,10.0701,-0.2926,343,2.1352,10.6446,-0.3324,-3.0761051897929,-1.1783,8.2487,43.312601,-0.574222325754027,10.0568002218514,19.2755720221851,-0.588615045556616,10.0451179916599,19.274403799166,9.84491849367932,10.0451179916599,9.765,-0.049728312264392116,20.214847397471726,-0.5886150455568995,20.28608379916599,-0.4499999999999993,20.20038,-1.24183968760827,10.4410080177005,2.11386459953116,-1.14064623286274,10.4660007215515,2.11660157056135,-1.23929245652419,10.4415601453908,2.11392194637386
0.3,305,78.2917,6.923,-0.5437,314,63.8829,7.6809,-0.406,313,54.9874,7.8054,-0.2847,326,43.3297,8.2461,-1.193,339,19.2727,10.0395,-0.3205,343,3.1979,10.6098,-0.3585,-2.90796182231543,-1.193,8.1294,44.125541,-0.633282874645704,9.99937798927597,20.2755098211127,-0.610902989781273,9.98625648710421,20.2730294478764,9.83994566245288,9.98625648710421,9.72,-0.04972831226440988,21.198841963717015,-0.6109029897812945,21.28470944787641,-0.4499999999999993,21.17238,-1.10164930842937,10.3308430868576,3.15245715475906,-1.04176187501403,10.3618245340501,3.15799283334144,-1.09944369850933,10.3316157755399,3.15258074242039
0.4,305,78.9812,6.8681,-0.5542,314,64.649,7.6414,-0.3836,313,55.7666,7.7801,-0.2217,326,44.1484,8.1261,-1.2036,339,20.275,10.0071,-0.3277,343,4.2546,10.5239,-0.3823,-2.73074558588453,-1.2036,8.00904,44.926445,-0.764575924622219,9.9360497018114,21.2691147912939,-0.65572094565456,9.92516618812608,21.265546066689,9.83497283122644,9.92516618812608,9.675,-0.049728312264392116,22.182339246839657,-0.655720945654501,22.277226066689018,-0.4499999999999993,22.139879999999998,-0.981569960157457,10.2326860908418,4.18063361364403,-0.957553192682586,10.2660692147819,4.18938752078303,-0.979641976628509,10.233651577877,4.18084411009124
0.5,305,79.6653,6.8139,-0.5285,314,65.4113,7.6039,-0.3637,313,56.5437,7.76,-0.1792,326,44.9549,8.0052,-1.2111,339,21.2741,9.9741,-0.3312,343,5.305,10.4846,-0.402,-2.54351758044857,-1.2111,7.88793,45.715238,-0.809468993535949,9.85959210934917,22.2550740022288,-0.676565228023149,9.85959409356063,22.2515054760451,9.83,9.85959409356063,9.63,-0.049728312264392116,23.165339246839658,-0.6765652280232004,23.26318547604508,-0.4499999999999993,23.10288,-0.88916866603116,10.1437692242387,5.19945637939806,-0.886706201694948,10.1773985946124,5.21156091125274,-0.876166564227507,10.1460349214543,5.1998284350578
0.6,305,80.3442,6.7642,-0.4667,314,66.1699,7.5687,-0.3405,313,57.3187,7.7419,-0.1834,326,45.7494,7.8836,-1.2166,339,22.2698,9.9405,-0.3414,343,6.3514,10.4435,-0.4182,-2.34777662005801,-1.2166,7.76627,46.491865,-0.850943497729502,9.77864520999558,23.2329385232283,-0.696780371147186,9.79193757075831,23.2306992331209,9.82502716877356,9.79193757075831,9.585,-0.7248944305878169,24.147841963717013,-0.6967803711471987,24.242379233120914,-0.4800000000000004,24.06138,-0.821012701737991,10.0616679540649,6.20972823831324,-0.825971437124273,10.0948014508999,6.22517091352836,-0.786151728806429,10.0674197485736,6.21050116855919
0.7,305,81.0185,6.7214,-0.3896,314,66.9251,7.5353,-0.3254,313,58.0919,7.7213,-0.2266,326,46.5316,7.7615,-1.22,339,23.2621,9.9056,-0.3575,343,7.3936,10.4008,-0.4345,-2.1486490220142,-1.22,7.64427,47.256292,-0.888633954013401,9.69355086022263,24.2022936092506,-0.716286013139127,9.72225953364359,24.2029251864853,9.75253772571478,9.72225953364359,9.537,-0.8006029453051866,25.12309573628849,-0.7162860131391113,25.214605186485272,-0.5300000000000082,25.01508,-0.774369606249642,9.98423099343995,7.21202318568848,-0.773823027556882,10.0174191481442,7.23078194348057,-0.739511352617915,9.99346861331182,7.21354558665346
0.8,305,81.6889,6.6856,-0.3257,314,67.677,7.5023,-0.3337,313,58.8628,7.6956,-0.2883,326,47.3017,7.6393,-1.2204,339,24.2508,9.8691,-0.3731,343,8.4315,10.3563,-0.4532,-1.95140711952453,-1.2204,7.52223,48.008515,-0.922369082023609,9.60468746482129,25.1627623557327,-0.734761252051474,9.65063093232968,25.1679882797182,9.67247743118426,9.65063093232968,9.484,-0.8536173351668985,26.09034347940692,-0.7347612520515057,26.17966827971824,-0.4535872668983032,25.963479999999997,-0.736290742208065,9.91060191921914,8.20676483132144,-0.729022822069453,9.9445168659373,8.22887874418464,-0.702170137268629,9.92325159958496,8.2093815972983
0.9,305,82.3559,6.6545,-0.2954,314,68.4254,7.4671,-0.3685,313,59.6307,7.6635,-0.3522,326,48.0595,7.5172,-1.2173,339,25.2359,9.8313,-0.3833,343,9.4648,10.3099,-0.473,-1.76012025139166,-1.2173,7.4005,48.748565,-0.952258140560802,9.51245055661893,26.1140074113946,-0.752418408982643,9.57715480712453,26.1257037604307,9.58711569766757,9.57715480712453,9.43864127331017,-0.8948543354641103,27.049055049173674,-0.7524184089825958,27.137383760430694,-0.7526700337976955,26.907344127331015,-0.705093225477695,9.84009259667137,9.19429955711596,-0.690543180084053,9.87546254792889,9.21987771487795,-0.671931217240388,9.85605847786092,9.1983471011706
1.0,305,83.021,6.6479,-0.2991,314,69.1702,7.4278,-0.4163,313,60.3952,7.6258,-0.402,326,48.8051,7.3956,-1.211,339,26.217,9.7925,-0.3927,343,10.4934,10.2616,-0.4906,-1.57668937055009,-1.211,7.2794,49.476505,-0.978086162094739,9.41722474256285,27.0557298856509,-0.768816964773783,9.50191296622627,27.0758950570533,9.49763026412116,9.50191296622627,9.3633742699304,-0.9312546170589897,27.998818075585792,-0.7688169647737908,28.08757505705332,-0.8154083005596036,27.843681554324057,-0.679524023975916,9.77214019427378,10.1749111966632,-0.657544611022722,9.80970808682662,10.2041362466157,-0.647432074958985,9.79131527036502,10.1807157885819
1.1,305,83.6842,6.6168,-0.3216,314,69.9108,7.384,-0.4586,313,61.1557,7.5843,-0.4256,326,49.5386,7.2748,-1.2009,339,27.1943,9.752,-0.4175,343,11.517,10.2117,-0.5046,-1.40129767739473,-1.2009,7.15931,50.192436,-0.999593661890123,9.31941612635337,27.9876714982863,-0.783769982209124,9.42503126974889,28.0183981840282,9.40450480241526,9.42503126974889,9.28183343987444,-0.9557277167187017,28.93926855582732,-0.7837699822091082,29.03007818402821,-0.8771512638205969,28.771864898311502,-0.658625441612908,9.70627765011249,11.1488320888825,-0.629306733028974,9.74677741352372,11.1819605216332,-0.627829230240435,9.72853234734098,11.1567081694672
1.2,305,84.3442,6.5834,-0.3435,314,70.6468,7.3368,-0.483,313,61.912,7.5418,-0.4247,326,50.2601,7.1553,-1.1844,339,28.1672,9.7074,-0.4735,343,12.5357,10.1605,-0.5159,-1.23323490008513,-1.1844,7.04087,50.896523,-1.0163560699666,9.21945676016436,28.9096171743027,-0.796863941432324,9.34665427152798,28.953063611181,9.30893203074339,9.34665427152798,9.19411831349238,-0.9756217775275111,29.870161758901656,-0.7968639414323953,29.964743611181007,-0.922553464239595,29.69127672966074,-0.641571803728529,9.64212046973964,12.1162519948751,-0.60521395793802,9.68625601772992,12.1536121931959,-0.612069083151355,9.66732543902584,12.1265010587855
1.3,305,85.0008,6.5488,-0.3468,314,71.3781,7.2881,-0.4883,313,62.6641,7.5,-0.4104,326,50.9698,7.0382,-1.1552,339,29.1354,9.6561,-0.5534,343,13.5491,10.1083,-0.5259,-1.07122396877627,-1.1552,6.92535,51.589058,-1.02782932902176,9.1178211531677,29.8213992896195,-0.807556339971428,9.26696787738474,29.8797603989195,9.21136985299064,9.26696787738474,9.10186296706842,-0.9907707376529018,30.79129874420072,-0.8075563399714092,30.89144039891948,-0.9495971999668029,30.601463026367583,-0.627752762063539,9.57934519353328,13.0773252780388,-0.584723577722371,9.62778365995768,13.1193141770803,-0.599564083693058,9.60736903065654,13.0902357822697
1.4,305,85.654,6.5149,-0.3274,314,72.1044,7.2395,-0.4823,313,63.4121,7.4597,-0.3941,326,51.668,6.9248,-1.1079,339,30.0981,9.5973,-0.6223,343,14.5573,10.0551,-0.5349,-0.915742207963865,-1.1079,6.81456,52.270514,-1.03368597219096,9.01503822026553,30.722903111646,-0.815535302886708,9.1862122433876,30.7983816232582,9.11229277922535,9.1862122433876,9.00690324707174,-1.00108020329289,31.702528022123257,-0.8155353028866941,31.81006162325824,-0.9567805132340013,31.502153351074753,-0.616626281432836,9.51768256539,14.032176665985,-0.567343986002364,9.57104926135744,14.0792558231461,-0.589789793630488,9.54839005129349,14.0480237363672
1.5,305,86.3039,6.4836,-0.2962,314,72.826,7.1918,-0.4692,313,64.1561,7.4208,-0.383,326,52.3551,6.8171,-1.0433,339,31.0547,9.534,-0.6448,343,15.5601,10.0012,-0.5414,-0.768034573993352,-1.0433,6.71023,52.941537,-1.03378002087856,8.91166962304643,31.6140700739507,-0.820534921500442,9.10465871309893,31.7088474945681,9.01218475889606,9.10465871309893,8.91122519574834,-1.0064879980042996,32.60374649801287,-0.8205349215003999,32.72052749456813,-0.9578832736437981,32.39327587064959,-0.607706289383223,9.45691193645168,14.980906391077,-0.552633248689456,9.5157859364885,15.0335975830384,-0.582275076197774,9.49016254367371,14.9999513661155
1.6,305,86.9509,6.4556,-0.2617,314,73.5429,7.1459,-0.4488,313,64.8962,7.3824,-0.3839,326,53.0317,6.7163,-0.9685,339,32.0049,9.4708,-0.6193,343,16.5575,9.9471,-0.5375,-0.630586583700235,-0.9685,6.61338,53.602875,-1.02830366243188,8.80829162095857,32.4948992360465,-0.822294684514479,9.02260522094889,32.611108016663,8.91153595909563,9.02260522094889,8.81543686838396,-1.0069177790837003,33.494900093922425,-0.8222946845144996,33.62278801666302,-0.9534963556854947,33.27481955748799,-0.600552057016963,9.39685673074998,15.9235948244371,-0.540190704538496,9.46176686603465,15.9824752231645,-0.576593068038069,9.4325032368699,15.9460846551427
1.7,305,87.5953,6.4312,-0.2252,314,74.2553,7.1022,-0.4231,313,65.6325,7.3426,-0.4109,326,53.6987,6.6232,-0.8912,339,32.949,9.4108,-0.5823,343,17.5496,9.8945,-0.5121,-0.504984443501083,-0.8912,6.52426,54.255301,-1.01758205910918,8.70546125471539,33.3654453615181,-0.820768421242561,8.94037575249744,33.5051455919128,8.81084418118726,8.94037575249744,8.72008723281541,-1.002289693513898,34.37598451204116,-0.8207684212425903,34.51682559191276,-0.943999308993817,34.146828280769526,-0.594759470798621,9.33738078367012,16.8603067001581,-0.529648635148041,9.40880200251984,16.9260036665922,-0.572352138180689,9.37526802305183,16.8864732181388
1.8,305,88.2373,6.4105,-0.1869,314,74.9635,7.0612,-0.3955,313,66.3645,7.2984,-0.473,326,54.3568,6.5378,-0.8144,339,33.8872,9.3529,-0.5753,343,18.5366,9.8456,-0.4633,-0.392682645794175,-0.8144,6.44282,54.899583,-1.00203807605466,8.60370304880447,34.2258156663985,-0.816602475253317,8.85829891037318,34.3909754829501,8.71061521183587,8.85829891037318,8.62568730191603,-0.9925276959006979,35.247046033224734,-0.8166024752533119,35.40265548295008,-0.9296496604996918,35.00939701096112,-0.589954935471449,9.27838529012297,17.7910950038478,-0.520675277333567,9.35673447478649,17.8642804904576,-0.569189184140206,9.31834910463781,17.8211540745233
1.9,305,88.8776,6.3937,-0.1495,314,75.6677,7.0229,-0.3678,313,67.0918,7.247,-0.5545,326,55.0067,6.46,-0.7377,339,34.8195,9.2937,-0.61,343,19.519,9.8022,-0.4032,-0.294670735843076,-0.7377,6.36905,55.536488,-0.98185482384701,8.503499241199,35.0761655905184,-0.809624307022849,8.77663866284785,35.2686393492349,8.6113624422458,8.77663866284785,8.53272233586606,-0.9775895516639999,36.108182277449316,-0.8096243070228049,36.28031934923487,-0.910751042579907,35.86266924454773,-0.585791859854075,9.21980610413756,18.7160045735608,-0.513000727576867,9.3054344020288,18.7973889342983,-0.566764697073136,9.2616726349305,18.7501551615017
2.0,305,89.5163,6.3804,-0.1143,314,76.3682,6.9875,-0.3393,313,67.8136,7.1881,-0.6218,326,55.6492,6.39,-0.6597,339,35.7457,9.2301,-0.6608,343,20.4973,9.7646,-0.3476,-0.211467678025788,-0.6597,6.30308,56.166796,-0.95698573243615,8.4053137588143,35.9166969663998,-0.800310694028316,8.69567623214557,36.1382069724494,8.5136034870794,8.69567623214557,8.44164723160807,-0.957501035975703,36.95954262615726,-0.8003106940282834,37.14988697244942,-0.8875153852979878,36.70683396770854,-0.581949321597379,9.16161117197783,19.6350754373666,-0.506371957545099,9.25479720627429,19.7254005147135,-0.564760386146397,9.20519659631586,19.673498623064
2.1,305,90.1538,6.3707,-0.0799,314,77.0653,6.9551,-0.3075,313,68.5292,7.1246,-0.6472,326,56.2851,6.328,-0.5795,339,36.6653,9.1626,-0.6912,343,21.4721,9.7317,-0.308,-0.142676149641157,-0.5795,6.24513,56.791309,-0.927177220825582,8.30961518557069,36.7476584849569,-0.787831122136494,8.61564516274274,36.9997714887237,8.41785338348183,8.61564516274274,8.35289569307827,-0.9323594863251117,37.80132796450544,-0.7878311221365131,38.011451488723694,-0.8602355966922026,37.542123537016366,-0.578132145594818,9.10379795741834,20.5483458938364,-0.500579750088456,9.20473923126545,20.6483773365905,-0.562879290284369,9.14890866728742,20.5912038862442
2.2,305,90.7906,6.3644,-0.0452,314,77.7594,6.9261,-0.2716,313,69.2385,7.0608,-0.6271,326,56.9152,6.2741,-0.4962,339,37.5781,9.0939,-0.6822,343,22.4438,9.7015,-0.2941,-0.086348236496908,-0.4962,6.19551,57.41086,-0.892211688145435,8.21689746348813,37.5693482313057,-0.772959858389014,8.53686205052909,37.8534576937766,8.32461743484932,8.53686205052909,8.26687213340905,-0.9023332735880985,38.633789707990374,-0.7729598583889974,38.8651376937766,-0.829292823082497,38.36881075035727,-0.574071787227129,9.04639077869563,21.4558553306421,-0.495393222669695,9.15519990899848,21.5663742936037,-0.560846662845768,9.09282400100284,21.5032905196587
2.3,305,91.4269,6.3616,-0.0107,314,78.4519,6.9246,-0.2391,313,69.9415,7.0007,-0.5724,326,57.5403,6.2287,-0.4096,339,38.4842,9.0276,-0.6452,343,23.4124,9.6713,-0.3098,-0.039864641443271,-0.4096,6.15455,58.026315,-0.852036483363066,8.12767629467359,38.3821158607731,-0.75529417306008,8.45956606469019,38.6994143002456,8.23438410749051,8.45956606469019,8.1839428511008,-0.8676710481671002,39.45722811873942,-0.755294173060097,39.71109430024563,-0.7951545145709993,39.18720503546735,-0.569527686422435,8.98943801005339,22.3576467700795,-0.490634826833863,9.10613642631509,22.4794411103693,-0.558411293376493,9.0369828716652,22.4097808632921
