t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3,v5_mpc_base2_field,v5_mpc_base3_field,v5_mpc_base2_field_smoothed,v5_mpc_base3_field_smoothed,a5_mpc_base2_field_smoothed,Y5_mpc_base2_field_smoothed,a5_mpc_base3_field_smoothed,Y5_mpc_base3_field_smoothed,v5_mpc_base4_field_smoothed,a5_mpc_base4_field_smoothed,Y5_mpc_base4_field_smoothed,a6_mpc_base4,v6_mpc_base4,Y6_mpc_base4,a6_mpc_base3,v6_mpc_base3,Y6_mpc_base3,a6_mpc_base2,v6_mpc_base2,Y6_mpc_base2
0.0,903.0,68.4434,6.3904,0.3081,907.0,55.3192,4.8647,0.1159,914.0,45.8153,4.7252,-0.2398,926.0,35.4132,5.0569,-0.2184,920.0,22.0615,7.7,-0.0729,939.0,0.0,7.9876,-0.7772,-0.2184,-0.2184,5.03506,35.916706,-0.0729,7.3419,22.79569,-0.0729,7.3419,22.79569,7.3943149,7.3943149,6.40972667478863,6.8787777875,-0.01058533593300659,23.436662667478863,-0.03644999999999676,23.48356777875,6.61289072440888,-0.2603418505875954,23.456979072440888,-0.7772,7.9876,0.0,-0.7772,7.9876,0.0,-0.7772,7.9876,0.0
0.1,903.0,69.0837,6.4156,0.1957,907.0,55.8064,4.8776,0.1401,914.0,46.2867,4.7016,-0.234,926.0,35.91889,5.0366,-0.1852,920.0,22.8315,7.69271,-0.1479,939.0,0.7943,7.8992,-0.9789,-0.540865041886267,-0.1852,5.01654,36.41836,-2.0648016381388,7.33461,23.529151,-2.28633790990617,7.33461,23.529151,7.3943149,7.3943149,6.40866814119533,6.8751327875,-0.010585335932900009,24.077529481598397,-1.1431689549531043,24.1710810575,6.58685653935012,-0.260341850587702,24.1156647263759,-1.9074277371314217,7.796857226286857,0.7892228613143429,-1.7630055266798097,7.811299447332018,0.789944972366601,-1.999842663547853,7.7876157336452145,0.7887607866822608
0.2,903.0,69.726,6.4294,0.0809,907.0,56.2949,4.8938,0.1799,914.0,46.7557,4.6781,-0.2386,926.0,36.4207,5.0206,-0.1341,920.0,23.600771,7.67792,-0.2627,939.0,1.5789,7.7919,-1.1552,-0.541567362175887,-0.1341,5.00313,36.918673,-1.89759174401149,7.12812983618612,24.2419639836186,-2.06873492267268,7.10597620900938,24.2397486209009,7.3943149,6.9593552,6.40760960760204,6.76081589200469,-0.010585335932900009,24.7182904423586,-1.0343674613362985,24.84716264670047,6.56082235429135,-0.260341850587702,24.771746961805036,-1.7036874139610043,7.626488484890756,1.5603901468732235,-1.6176311568890562,7.649536331643113,1.5629867613153576,-1.7721310126814644,7.610402632377068,1.5586617049833749
0.3,903.0,70.3691,6.4332,-0.0041,907.0,56.7854,4.915,0.2404,914.0,47.2223,4.6545,-0.2363,926.0,36.9223,5.0103,-0.0706,920.0,24.368563,7.65165,-0.4161,939.0,2.3522,7.6733,-1.2015,-0.548108713807091,-0.0706,4.99607,37.41828,-1.73144050135953,6.93837066178497,24.9358010497971,-1.86298888092242,6.89910271674212,24.9296588925751,7.3943149,6.9593552,6.40655107400875,6.65737914587106,-0.027613919825100197,25.358945549759476,-0.9314944404612024,25.512900561287577,6.53478816923258,-0.2603418505875954,25.425225778728294,-1.5303812182810002,7.473450363062656,2.315387089270894,-1.4883329842835054,7.500703033214763,2.320498729558252,-1.5793205916674111,7.452470573210326,2.3118053652627446
0.4,903.0,71.0123,6.4305,-0.0505,907.0,57.2782,4.942,0.2955,914.0,47.6866,4.6313,-0.2297,926.0,37.4231,5.0064,-0.0072,920.0,25.133728,7.61004,-0.5892,939.0,3.114,7.5639,-0.9726,-0.562847255288738,-0.0072,4.99535,37.917815,-1.58321190114595,6.76522661164902,25.612323710962,-1.67958820909924,6.71280382864987,25.6009392754401,6.9593552,6.9593552,6.40378968202624,6.56422970182494,-0.05522783965009381,25.9993245179621,-0.8397941045495916,26.16932353147007,6.50875398417382,-0.47700252623160466,26.076101177145677,-1.381474994538945,7.335302863608762,3.055824750604465,-1.3724315872885955,7.363459874485904,3.063706874943285,-1.414958969811052,7.310974676229221,3.049977627734722
0.5,903.0,71.655,6.4239,-0.0818,907.0,57.7739,4.9723,0.3061,914.0,48.1486,4.6088,-0.2214,926.0,37.9238,5.0081,0.042,920.0,25.894732,7.55112,-0.762,939.0,3.8666,7.4876,-0.5454,-0.586766704767953,0.042,4.99955,38.41777,-1.43310489474358,6.60690542153442,26.2730142531154,-1.50232189054476,6.54484500773995,26.2554237762141,6.9593552,6.5243955,6.39826689806123,6.48025029136998,-0.09601466734700637,26.639151207768222,-0.7511609452725043,26.817348560607066,6.46105373155066,-0.5593946322986998,26.72220655030074,-1.2613183318701195,7.20917103042175,3.783048445305991,-1.2680445231676176,7.236655422169142,3.7937126397760377,-1.274001838139155,7.183574492415305,3.7747050861669487
0.6,903.0,72.2969,6.4135,-0.126,907.0,58.2726,5.0008,0.2583,914.0,48.6084,4.5873,-0.2113,926.0,38.4249,5.0137,0.0694,920.0,26.649844,7.47492,-0.9073,939.0,4.6135,7.4502,-0.1982,-0.619227282870492,0.0694,5.00649,38.918419,-1.29401491003244,6.46359493206006,26.9193737463214,-1.34067076937263,6.39461281868547,26.8948850580827,6.9593552,6.5243955,6.38866543132653,6.40513419684273,-0.15210174285710032,27.278017750900876,-0.6703353846863003,27.45786198029134,6.40511426832079,-0.5967122309385964,27.36271797713282,-1.159668964502056,7.093204133971544,4.498167203525656,-1.1733620920085093,7.119319212968291,4.51151137153291,-1.1527430798631664,7.068300184428988,4.487298820009164
0.7,903.0,72.9375,6.398,-0.1849,907.0,58.7738,5.0228,0.1786,914.0,49.0661,4.5669,-0.199,926.0,38.9263,5.0145,0.08,920.0,27.397336,7.38419,-0.9991,939.0,5.3579,7.438,-0.0431,-0.658246999409069,0.08,5.01449,39.419868,-1.16577288718513,6.33419344105682,27.5527930904271,-1.19323010080983,6.26054574174821,27.5209396322575,6.5243955,6.5243955,6.37345525704082,6.3381006583741,-0.22561640612249967,27.915363276604957,-0.5966150504047985,28.09167204612875,6.34544304522693,-0.669636271781302,27.997262281655512,-1.0718248358755686,6.986021650383988,5.202128492743432,-1.0871164112137903,7.010607571846912,5.21800771077367,-1.0484281532361734,6.963457369105371,5.188886697685882
0.8,903.0,73.5762,6.3769,-0.2376,907.0,59.2768,5.0374,0.1102,914.0,49.5218,4.5476,-0.1874,926.0,39.4282,5.023,0.09,920.0,28.135755,7.28428,-1.0333,939.0,6.1016,7.4365,0.0138,-0.691791917105502,0.09,5.02349,39.922217,-1.04700348926885,6.21761615233831,28.174554705661,-1.05758305205171,6.14122273166723,28.1350619054242,6.5243955,6.0894358,6.35089361642857,6.27843915333362,-0.30976776909620085,28.550452638247815,-0.5287915260259002,28.719515961462115,6.2784794180488,-0.7173467568900982,28.625110223460393,-0.9970381051378542,6.886317839870202,5.895745467256142,-1.0082581818536531,6.909781753661547,5.914027177049093,-0.959008733942687,6.867556495711103,5.880437390926705
0.9,903.0,74.2126,6.3516,-0.2682,907.0,59.781,5.047,0.0815,914.0,49.9757,4.5298,-0.1713,926.0,39.931,5.0335,0.1183,920.0,28.864183,7.18095,-1.0141,939.0,6.8454,7.4395,0.0456,-0.737417117666837,0.1183,5.03532,40.425749,-0.936165590847012,6.11291580341142,28.7858462860021,-0.930579891941341,6.03546442646206,28.7386083480704,6.5243955,6.0894358,6.31991683951895,6.22556000073103,-0.3977649437317954,29.18244432219971,-0.4652899459706994,29.342071961535215,6.20674474235979,-0.7466219335096991,29.245784697696372,-0.9325359049427002,6.793064249375932,6.579714571718449,-0.9358894303814762,6.8161928106234,6.60032590526334,-0.8826490208267335,6.77929159362843,6.5627797953936815
