t,a_0_origin,a_1_origin,a_2_origin,v_0_origin,v_1_origin,v_2_origin,x_0_origin,x_1_origin,x_2_origin
1113433800.2,0.0,0.0,0.1255471334131697,0.0,0.0,0.3692903186659539,0.0,-8.957986828886867,-17.10652415173489
1113433800.3,0.0,0.0,0.1459622778909848,0.0,0.0,0.3832314300610213,0.0,-8.957986828886867,-17.068898064298555
1113433800.4,0.0,0.0,0.165105494634525,0.0,0.0,0.3984013813054308,0.0,-8.957986828886867,-17.029816423730228
1113433800.5,0.0,0.0,0.1897641815232285,0.0,0.0,0.4157074353583017,0.0,-8.957986828886867,-16.989110982897053
1113433800.6,0.0,-0.0,0.2023654188435162,0.0,0.0,0.4348305572129306,0.0,-8.957986828886867,-16.94658408326848
1113433800.7,0.0,0.0,0.1382451808922042,0.0,0.0,0.4535511673502468,0.0,-8.957986828886867,-16.902164997040323
1113433800.8,0.0,0.0,0.0980962226297573,0.0,0.0,0.4686840147512959,0.0,-8.957986828886867,-16.856053237935242
1113433800.9,-0.0,0.0,0.0538578565062439,0.0,0.0,0.4784135748591102,0.0,-8.957986828886867,-16.80869835845472
1113433801.0,0.0,0.0556306961595627,0.021330505543307,0.0,0.0,0.4832278562007412,0.0,-8.957986828886867,-16.76061628690173
1113433801.1,0.0,0.0625946938674514,0.0029341460526057,0.0,0.0,0.4847041439073981,0.0,-8.957986828886867,-16.712219686896322
1113433801.2,0.0,0.0729971662386805,-0.0179542747763581,0.0,0.0036389366091169,0.4841384661010455,0.0,-8.957804882056415,-16.663777556395903
1113433801.3,0.0,0.0858425701805137,-0.0334339181770169,0.0,0.0147598393181446,0.482203119154497,0.0,-8.956884943260043,-16.615460477133126
1113433801.4,0.0,0.1475472931912306,-0.0469916993562386,0.0,0.0277065126446208,0.4791741846002406,0.0,-8.954761625661902,-16.567391611945386
1113433801.5,0.0,0.1661231823871505,-0.0490083367549674,0.0,0.0424529032397281,0.4751595692816972,0.0,-8.951253654867692,-16.51967492425129
1113433801.6,0.0,0.1811829678893538,-0.0590940527464458,0.0,0.0587805864193986,0.4702078968926542,0.0,-8.946191980384732,-16.472406550942576
1113433801.7,0.0,0.1896195820833934,-0.0696466623070564,0.0,0.0779221972548442,0.4643108778996768,0.0,-8.939356841201018,-16.42568061220296
1113433801.8,0.0,0.1714811718430174,-0.0817407840594816,0.0,0.0961538151997337,0.4573765164884416,0.0,-8.930653040578292,-16.379596242483554
1113433801.9,0.0,0.1637901377047382,-0.0972759696393769,0.0,0.1139793405661459,0.4492105856949021,0.0,-8.920146382789994,-16.334266887374383
1113433802.0,0.0,0.1481732274574953,-0.1207911729948722,0.0,0.1305656416325622,0.4392981579074805,0.0,-8.90791913368006,-16.289841450194263
1113433802.3,0.0355186638510115,0.0737480195455579,-0.1634177498876474,0.0,0.1663258064516951,0.3918532705972458,0.0,-8.862861634461524,-16.164580285827483
1113433802.4,0.040540773063687,0.0591819545520719,-0.1545215837904457,0.0,0.1736068442103021,0.3731086297694063,0.0,-8.845865001928424,-16.12633219080915
1113433802.5,0.0453311216361341,0.0514993733329791,-0.1337703319434701,0.0061154524324307,0.1796692461100567,0.3561119016468221,0.0003057726216155743,-8.828201197412405,-16.08987116423834
1113433802.6,0.0988525108064854,0.0509087838668146,-0.1057825594485941,0.0151522400506664,0.1850733615396074,0.3468738597468958,0.001369157245768804,-8.809964067029924,-16.05472187616865
1113433802.7,0.1076626297044595,0.0479779607591719,-0.0991460437191411,0.0250459635354099,0.1900912705466122,0.3361040480902301,0.0033790674250795405,-8.791205835425615,-16.020572980776798
1113433802.8,0.1169077339325731,0.0465544363986219,-0.0825971811925814,0.0358046763116064,0.1948882225440307,0.3279575613100215,0.00642159941742193,-8.771956860771084,-15.987369900306788
1113433802.9,0.1267270802951079,0.0454957207465977,-0.1237556501304286,0.0474767284297307,0.1995592157533049,0.3187079696773869,0.010585669654496144,-8.75223448885621,-15.955036623757408
1113433803.0,0.1241607672224798,0.0461735306140489,-0.1869856154381194,0.060167235524529,0.204167051716728,0.3047792545175838,0.015967867852204165,-8.732048175482703,-15.923862262547672
1113433803.1,0.1379869773670296,0.0480613088444502,-0.2041625590614541,0.0741428765277944,0.208859455415432,0.286855599042203,0.022683373454810862,-8.7113968501261,-15.894280519869682
1113433803.2,0.1413014820754994,0.0501107162503256,-0.2023075559280405,0.0890323246580308,0.2137479104317625,0.2678579325588081,0.03084213351410625,-8.690266481833739,-15.866544843289624
